id,mime_type,attachment_url,attachment_size,attachable_type,attachable_id,category,created_at,updated_at
3808858,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/9f9d98eb06f6358a2d29d3bf3cdfc351.jpg,MED,App\Models\Hotels\Room,762,room-image,2026-08-11 11:36:45,2026-08-11 11:36:45
3808859,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/4480dab62406124fbbf214603f75a5a0.jpg,MED,App\Models\Hotels\Room,762,room-image,2026-08-11 11:36:45,2026-08-11 11:36:45
3808860,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/db7dcdc63715a6a6bab097121039d8c8.jpg,MED,App\Models\Hotels\Room,762,room-image,2026-08-11 11:36:45,2026-08-11 11:36:45
3808861,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f366a8d248bf9606c8f841148bd8255a.jpg,MED,App\Models\Hotels\Room,767,room-image,2026-08-11 11:36:46,2026-08-11 11:36:46
3808862,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/2a8f30c03123811317632855951837e9.jpg,MED,App\Models\Hotels\Room,767,room-image,2026-08-11 11:36:46,2026-08-11 11:36:46
3808863,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/aed1993ae86d32d9b7ce64f91d577663.jpg,MED,App\Models\Hotels\Room,767,room-image,2026-08-11 11:36:47,2026-08-11 11:36:47
3808864,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/de7bd69edc5f89ce8736b4283b4f53c3.jpg,MED,App\Models\Hotels\Room,767,room-image,2026-08-11 11:36:47,2026-08-11 11:36:47
3808865,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/db7dcdc63715a6a6bab097121039d8c8.jpg,MED,App\Models\Hotels\Room,767,room-image,2026-08-11 11:36:47,2026-08-11 11:36:47
3808866,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/885123c5919c881f53d227abd77b3049.jpg,MED,App\Models\Hotels\Room,788,room-image,2026-08-11 11:36:50,2026-08-11 11:36:50
3808867,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/1c8a132505573dc5c33a4de8ad59ecf8.jpg,MED,App\Models\Hotels\Room,788,room-image,2026-08-11 11:36:50,2026-08-11 11:36:50
3808868,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/74f95bb90b19cfdf8028eef78fe12522.jpg,MED,App\Models\Hotels\Room,788,room-image,2026-08-11 11:36:51,2026-08-11 11:36:51
3808869,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/b8a552a7af4162e8200982942c1b56ac.jpg,MED,App\Models\Hotels\Room,788,room-image,2026-08-11 11:36:51,2026-08-11 11:36:51
3808870,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/ec57a0e4c1087d03bc18de8009208ce0.jpg,MED,App\Models\Hotels\Room,791,room-image,2026-08-11 11:36:51,2026-08-11 11:36:51
3808871,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/7c3a1cb13471c66dac2b5b722aefb848.jpg,MED,App\Models\Hotels\Room,791,room-image,2026-08-11 11:36:51,2026-08-11 11:36:51
